trade_id,user_id,platform,currency,instrument,trade_type,entry_price,exit_price,trade_volume,open_time,close_time
TRD0001,U003,SSE,EUR,futures,long,2.04,6.12,14000,15/9/2025 16:44,15/9/2025 17:11
TRD0002,U001,Euronext,CNY,REITS,long,1.04,4.15,12000,25/3/2024 10:38,25/3/2024 15:07
TRD0003,U002,SSE,CNY,mutual,short,3.71,8.02,34000,18/3/2023 23:51,21/3/2023 1:13
TRD0004,U001,Nasdaq,EUR,futures,long,6.52,7.06,35000,14/7/2024 21:57,21/7/2024 2:40
TRD0005,U001,SSE,CNY,mutual,short,9.05,1.63,43000,9/7/2024 10:15,12/7/2024 18:18
TRD0006,U001,Nasdaq,USD,stocks,long,8.28,8.29,6000,16/3/2025 17:37,23/3/2025 6:26
TRD0007,U001,Euronext,EUR,futures,short,9.37,6.8,5000,9/11/2023 2:09,9/11/2023 6:20
TRD0008,U001,Euronext,USD,ETF,long,7.79,9.7,40000,15/12/2023 7:33,15/12/2023 7:44
TRD0009,U002,NYSE,EUR,options,long,1.75,1.11,4000,18/12/2024 8:43,21/12/2024 2:09
TRD0010,U001,LSE,GBP,commodities,short,5.42,5.96,15000,18/5/2023 13:21,23/5/2023 23:30
TRD0011,U003,SSE,EUR,CFD,short,1.72,7.19,10000,26/10/2025 15:13,30/10/2025 7:39
TRD0012,U001,SSE,CNY,mutual,short,1.22,3.73,46000,18/6/2023 21:58,18/6/2023 22:34
TRD0013,U002,Nasdaq,CNY,REITS,long,8,7.74,39000,19/10/2024 15:34,21/10/2024 20:46
TRD0014,U002,Euronext,USD,ETF,short,1.13,2.93,1000,4/7/2024 17:47,11/7/2024 8:26
TRD0015,U001,Euronext,CNY,REITS,short,4.06,6.4,28000,2/10/2025 11:34,3/10/2025 14:27
TRD0016,U004,SSE,CNY,REITS,short,3.84,4.09,4000,19/11/2023 1:59,19/11/2023 13:16
TRD0017,U001,Nasdaq,GBP,forex,short,8.85,8.78,47000,6/2/2025 20:06,7/2/2025 15:15
TRD0018,U005,Nasdaq,USD,ETF,long,4.97,5.67,46000,1/12/2024 18:56,2/12/2024 11:06
TRD0019,U004,NYSE,USD,stocks,short,6.93,4.86,36000,11/10/2025 1:30,11/10/2025 4:39
TRD0020,U003,Euronext,CNY,mutual,long,7.07,1.15,22000,17/10/2025 9:27,17/10/2025 10:44
TRD0021,U002,SSE,GBP,commodities,long,3.25,5.86,17000,12/3/2023 2:23,15/3/2023 14:53
TRD0022,U003,SSE,EUR,futures,long,5.26,5.84,7000,21/6/2024 4:24,27/6/2024 5:03
TRD0023,U002,NYSE,GBP,commodities,short,2.05,1.54,36000,17/4/2023 15:57,17/4/2023 21:33
TRD0024,U004,LSE,GBP,forex,long,7.44,4.9,27000,25/12/2023 17:47,25/12/2023 20:53
TRD0025,U005,Nasdaq,EUR,options,short,4.53,6.4,16000,3/3/2025 5:13,3/3/2025 6:35
TRD0026,U002,Euronext,EUR,options,short,6.74,5.02,43000,22/6/2025 2:26,22/6/2025 3:46
TRD0027,U003,NYSE,USD,stocks,long,8.68,4.26,45000,13/12/2024 1:23,13/12/2024 9:38
TRD0028,U003,SSE,EUR,CFD,long,3.6,8.75,8000,9/5/2025 11:49,9/5/2025 14:38
